"","x"
"607",85.8169014084507
"608",NA
"609",NA
"610",NA
"611",NA
"612",NA
"613",NA
"614",76.7391304347826
"615",86.0140845070423
"616",NA
"617",NA
"618",NA
"619",78
"620",81.2535211267606
"621",NA
"622",NA
"623",82.6458333333333
"624",NA
"625",NA
"626",NA
"627",NA
"628",NA
"629",NA
"630",NA
"631",74.6666666666667
"632",NA
"633",NA
"634",NA
"635",NA
"636",NA
"637",79.125
"638",77.5833333333333
"639",NA
"640",69.9375
"641",NA
"642",NA
"643",NA
"644",NA
"645",77.3541666666667
"646",78.5972222222222
"647",80.2083333333333
"648",NA
"649",72.2291666666667
"650",NA
"651",NA
"652",74.7971014492754
"653",NA
"654",74.6666666666667
"655",NA
"656",72.3888888888889
"657",NA
"658",69.9375
"659",NA
"660",NA
"661",68.5
"662",NA
"663",77.3541666666667
"664",78.5972222222222
"665",NA
"666",72.2291666666667
"667",NA
"668",NA
"669",NA
"670",NA
"671",NA
"672",77.5833333333333
"673",NA
"674",NA
"675",69.9375
"676",72.3888888888889
"677",NA
"678",68.5
"679",NA
"680",NA
"681",NA
"682",80.2083333333333
"683",NA
"684",NA
"685",NA
"686",NA
"687",NA
"688",76.5
"689",NA
"690",NA
"691",69.9375
"692",72.3888888888889
"693",NA
"694",68.5
"695",NA
"696",NA
"697",78.5972222222222
"698",77.3541666666667
"699",NA
"700",80.2083333333333
"701",NA
"702",74.7971014492754
"703",NA
"704",NA
"705",NA
"706",74.6666666666667
"707",NA
"708",79.125
"709",NA
"710",NA
"711",NA
"712",NA
"713",NA
"714",NA
"715",NA
"716",NA
"717",NA
"718",76.5531914893617
"719",NA
"720",NA
"721",78.7916666666667
"722",90.4583333333333
"723",NA
"724",NA
"725",NA
"726",60.1805555555556
"727",NA
"728",NA
"729",83.375
"730",NA
"731",81.0714285714286
"732",NA
"733",NA
"734",80.3541666666667
"735",NA
"736",NA
"737",NA
"738",NA
"739",NA
"740",72.0694444444444
"741",NA
"742",90.4583333333333
"743",NA
"744",NA
"745",NA
"746",NA
"747",56.8611111111111
"748",NA
"749",NA
"750",NA
"751",NA
"752",NA
"753",NA
"754",NA
"755",NA
"756",76.5531914893617
