"","x"
"248",58.075
"249",58.075
"250",41.553125
"251",41.553125
"252",41.553125
"253",34.92
"254",43.1620689655172
"255",31.1153846153846
"256",31.1153846153846
"257",31.1153846153846
"258",47.5416666666667
"259",44.6575757575758
"260",58.075
"261",58.075
"262",58.075
"263",41.553125
"264",34.92
"265",34.92
"266",43.1620689655172
"267",43.1620689655172
"268",31.1153846153846
"269",31.1153846153846
"270",31.1153846153846
"271",31.1153846153846
"272",47.5416666666667
"273",47.5416666666667
"274",60.475
"275",60.475
"276",60.475
"277",62.3529411764706
"278",58.1029411764706
"279",53.6633333333333
"280",53.6633333333333
"281",53.6633333333333
"282",54.312
"283",54.312
"284",54.312
"285",53.565625
"286",53.565625
"287",53.565625
"288",53.565625
"289",56.9708333333333
"290",56.9708333333333
"291",56.9708333333333
"292",60.475
"293",60.475
"294",60.475
"295",62.3529411764706
"296",62.3529411764706
"297",58.1029411764706
"298",58.1029411764706
"299",58.1029411764706
"300",58.1029411764706
"301",53.6633333333333
"302",53.6633333333333
"303",53.6633333333333
"304",54.312
"305",54.312
"306",54.312
"307",53.565625
"308",53.565625
"309",56.9708333333333
"310",56.9708333333333
"311",56.9708333333333
"312",60.475
"313",62.3529411764706
"314",62.3529411764706
"315",58.1029411764706
"316",58.1029411764706
"317",53.6633333333333
"318",53.6633333333333
"319",53.6633333333333
"320",54.312
"321",54.312
"322",54.312
"323",53.565625
"324",53.565625
"325",53.565625
"326",56.9708333333333
"327",56.9708333333333
"328",56.9708333333333
"329",60.475
"330",60.475
"331",62.3529411764706
"332",62.3529411764706
"333",58.1029411764706
"334",58.1029411764706
"335",53.6633333333333
"336",53.6633333333333
"337",53.6633333333333
"338",54.312
"339",53.565625
"340",53.565625
"341",53.565625
"342",56.9708333333333
"343",56.9708333333333
"344",60.475
"345",62.3529411764706
"346",62.3529411764706
"347",58.1029411764706
"348",58.1029411764706
"349",58.1029411764706
"350",72.89375
"351",72.89375
"352",73.1875
"353",73.1875
"354",73.1875
"355",69.7032258064516
"356",69.7032258064516
"357",68.2814814814815
"358",63.521875
"359",63.521875
"360",76.0333333333333
"361",76.0333333333333
"362",75.2
"363",75.2
"364",75.2
"365",72.89375
"366",73.1875
"367",73.1875
"368",69.7032258064516
"369",69.7032258064516
"370",68.2814814814815
"371",68.2814814814815
"372",63.521875
"373",76.0333333333333
"374",76.0333333333333
"375",75.2
"376",75.2
"377",73.1875
"378",73.1875
"379",73.1875
"380",69.7032258064516
"381",69.7032258064516
"382",68.2814814814815
"383",68.2814814814815
"384",63.521875
"385",76.0333333333333
"386",75.2
"387",75.2
"388",72.89375
"389",73.1875
"390",69.7032258064516
"391",69.7032258064516
"392",68.2814814814815
"393",68.2814814814815
"394",63.521875
"395",63.521875
"396",76.0333333333333
"397",76.0333333333333
"398",76.0333333333333
"399",76.0333333333333
"400",75.2
"401",75.2
"402",72.89375
"403",72.89375
"404",72.89375
"405",73.1875
"406",73.1875
"407",74.8121212121212
"408",74.8121212121212
"409",74.8121212121212
"410",76.4464285714286
"411",75.9151515151515
"412",75.9151515151515
"413",75.9151515151515
"414",69.2785714285714
"415",64.9291666666667
"416",64.9291666666667
"417",64.9291666666667
"418",66.0166666666667
"419",66.0166666666667
"420",69.4733333333333
"421",69.4733333333333
"422",69.4733333333333
"423",74.8121212121212
"424",74.8121212121212
"425",76.4464285714286
"426",76.4464285714286
"427",76.4464285714286
"428",76.4464285714286
"429",75.9151515151515
"430",75.9151515151515
"431",75.9151515151515
"432",75.9151515151515
"433",69.2785714285714
"434",64.9291666666667
"435",64.9291666666667
"436",64.9291666666667
"437",64.9291666666667
"438",64.9291666666667
"439",64.9291666666667
"440",66.0166666666667
"441",66.0166666666667
"442",69.4733333333333
"443",69.4733333333333
"444",74.8121212121212
"445",74.8121212121212
"446",74.8121212121212
"447",74.8121212121212
"448",76.4464285714286
"449",75.9151515151515
"450",75.9151515151515
"451",69.2785714285714
"452",64.9291666666667
"453",64.9291666666667
"454",66.0166666666667
"455",66.0166666666667
"456",69.4733333333333
"457",69.4733333333333
"458",74.8121212121212
"459",74.8121212121212
"460",76.4464285714286
"461",76.4464285714286
"462",75.9151515151515
"463",75.9151515151515
"464",69.2785714285714
